ID,NOME,ESPECIE,IDADE,PESO,CADASTRO_ATIVO,PROCEDIMENTOS
2971,Café,Tartaruga,8,39.8,True,Ultrassonografia;Limpeza_tártaro
2972,Otto,Porquinho-da-india,5,39.53,True,Ultrassonografia;Castração;Curativo_ferida
2973,Gaia,Hamster,14,2.29,False,Curativo_ferida;Limpeza_tártaro;Castração
2974,Paçoca,Tartaruga,1,2.32,True,Vacinação;Hemograma;Consulta_rotina
2975,Simba,Porquinho-da-india,3,13.91,True,Vacinação;Ultrassonografia;Limpeza_tártaro
2976,Cacau,Hamster,12,33.32,False,Vacinação;Castração
2977,Amora,Peixe-dourado,12,22.54,True,Hemograma;Castração;Curativo_ferida
2978,Vicente,Calopsita,8,20.31,False,Ultrassonografia;Castração
2979,Café,Tartaruga,7,36.95,True,Hemograma;Ultrassonografia
2980,Simba,Gato,7,38.87,True,Limpeza_tártaro
2981,Thor,Cachorro,15,7.36,True,Curativo_ferida;Ultrassonografia;Vacinação
2982,Tequila,Porquinho-da-india,12,31.32,False,Curativo_ferida
2983,Koda,Coelho,4,15.32,True,Castração;Limpeza_tártaro
2984,Cacau,Hamster,1,19.48,True,Ultrassonografia;Vacinação
2985,Paçoca,Gato,13,36.33,False,Castração
2986,Cookie,Calopsita,15,34.59,False,Limpeza_tártaro;Vacinação;Curativo_ferida
2987,Koda,Calopsita,8,22.45,True,Limpeza_tártaro;Castração;Ultrassonografia
2988,Stitch,Porquinho-da-india,3,34.32,False,Ultrassonografia;Limpeza_tártaro;Hemograma
2989,Alice,Porquinho-da-india,3,28.2,True,Castração;Hemograma;Vacinação
2990,Yoda,Gato,13,17.37,False,Consulta_rotina;Ultrassonografia
2991,Stitch,Porquinho-da-india,1,32.41,True,Hemograma
2992,Lola,Gato,7,19.9,False,Curativo_ferida;Hemograma
2993,Nala,Calopsita,5,18.33,True,Ultrassonografia
2994,Simba,Porquinho-da-india,4,7.89,False,Hemograma
2995,Gaia,Calopsita,3,22.92,False,Vacinação
2996,Yoda,Tartaruga,3,3.21,True,Hemograma;Consulta_rotina
2997,Jade,Peixe-dourado,6,14.68,False,Vacinação;Curativo_ferida;Consulta_rotina
2998,Sherlock,Cachorro,3,34.66,True,Curativo_ferida
2999,Alice,Gato,7,17.75,False,Ultrassonografia
3000,Arya,Coelho,13,29.06,True,Curativo_ferida
3001,Amora,Porquinho-da-india,9,33.27,True,Castração
3002,Mel,Peixe-dourado,7,39.7,False,Hemograma
3003,Lola,Cachorro,11,30.78,False,Consulta_rotina;Vacinação
3004,Jade,Tartaruga,6,2.53,False,Vacinação;Ultrassonografia
3005,Sherlock,Tartaruga,7,24.2,False,Hemograma;Ultrassonografia
3006,Sushi,Tartaruga,1,10.57,True,Ultrassonografia;Castração;Vacinação
3007,Café,Calopsita,3,9.42,True,Ultrassonografia
3008,Otto,Peixe-dourado,9,35.48,True,Limpeza_tártaro
3009,Cookie,Calopsita,13,28.32,True,Vacinação;Curativo_ferida;Ultrassonografia
3010,Otto,Gato,10,26.77,True,Hemograma;Ultrassonografia
3011,Koda,Hamster,14,16.89,False,Curativo_ferida;Limpeza_tártaro;Vacinação
3012,Lola,Gato,7,39.26,False,Curativo_ferida
3013,Gaia,Calopsita,7,29.66,False,Hemograma;Castração
3014,Lola,Coelho,4,33.76,True,Curativo_ferida;Castração;Ultrassonografia
3015,Amora,Porquinho-da-india,10,9.73,False,Limpeza_tártaro
3016,Koda,Calopsita,14,29.89,True,Ultrassonografia;Curativo_ferida;Vacinação
3017,Gaia,Cachorro,8,5.53,False,Hemograma;Castração;Consulta_rotina
3018,Frodo,Tartaruga,3,35.55,True,Ultrassonografia;Castração
3019,Nala,Porquinho-da-india,7,10.3,True,Limpeza_tártaro;Curativo_ferida
3020,Clara,Peixe-dourado,13,22.34,False,Curativo_ferida;Ultrassonografia
3021,Clara,Gato,9,1.81,False,Castração;Vacinação;Limpeza_tártaro
3022,Nala,Porquinho-da-india,11,4.94,True,Castração
3023,Stitch,Calopsita,13,16.64,True,Ultrassonografia;Consulta_rotina;Curativo_ferida
3024,Bento,Peixe-dourado,15,37.42,False,Castração
3025,Frodo,Peixe-dourado,3,13.06,False,Ultrassonografia;Consulta_rotina;Curativo_ferida
3026,Cookie,Gato,10,26.89,False,Curativo_ferida;Castração;Hemograma
3027,Jujuba,Porquinho-da-india,5,17.39,True,Curativo_ferida;Limpeza_tártaro;Consulta_rotina
3028,Loki,Tartaruga,13,37.95,False,Vacinação;Limpeza_tártaro
3029,Joaquim,Calopsita,9,31.44,False,Castração
3030,Alecrim,Porquinho-da-india,3,3.54,True,Hemograma
3031,Paçoca,Porquinho-da-india,15,13.11,True,Hemograma;Vacinação
3032,Zeca,Tartaruga,3,3.56,False,Vacinação
3033,Cecília,Peixe-dourado,15,28.57,True,Consulta_rotina
3034,Nala,Hamster,6,1.18,True,Consulta_rotina
3035,Otto,Porquinho-da-india,14,35.89,False,Castração;Hemograma
3036,Stitch,Porquinho-da-india,7,14.66,True,Curativo_ferida;Hemograma
3037,Amora,Cachorro,7,21.95,False,Consulta_rotina;Limpeza_tártaro
3038,Jade,Gato,1,35.14,False,Vacinação;Ultrassonografia
3039,Nala,Porquinho-da-india,11,17.81,True,Curativo_ferida;Consulta_rotina
3040,Paçoca,Porquinho-da-india,5,36.51,True,Limpeza_tártaro;Consulta_rotina;Ultrassonografia
3041,Jade,Peixe-dourado,14,16.25,True,Hemograma;Vacinação
3042,Sushi,Gato,8,20.96,True,Vacinação
3043,Paçoca,Tartaruga,11,4.1,False,Vacinação
3044,Clara,Coelho,7,19.14,True,Curativo_ferida;Ultrassonografia
3045,Nala,Gato,15,2.66,True,Castração
3046,Cecília,Hamster,4,19.82,False,Limpeza_tártaro;Castração
3047,Arya,Gato,3,3.22,True,Ultrassonografia
3048,Clara,Porquinho-da-india,4,22.25,True,Curativo_ferida;Vacinação;Consulta_rotina
3049,Stitch,Cachorro,15,24.9,False,Curativo_ferida;Ultrassonografia
3050,Joaquim,Calopsita,2,31.3,False,Ultrassonografia;Consulta_rotina
3051,Simba,Peixe-dourado,15,17.03,True,Consulta_rotina;Ultrassonografia;Curativo_ferida
3052,Flora,Cachorro,8,22.6,False,Hemograma;Vacinação
3053,Pipoca,Calopsita,13,31.6,False,Vacinação;Castração;Limpeza_tártaro
3054,Paçoca,Porquinho-da-india,8,34.96,False,Hemograma
3055,Gaia,Tartaruga,15,19.34,True,Consulta_rotina
3056,Cecília,Peixe-dourado,3,25.12,False,Curativo_ferida;Limpeza_tártaro;Vacinação
3057,Cookie,Porquinho-da-india,7,36.72,False,Consulta_rotina;Curativo_ferida;Vacinação
3058,Bento,Calopsita,6,26.93,False,Curativo_ferida;Ultrassonografia
3059,Clara,Gato,9,4.71,True,Hemograma;Consulta_rotina
3060,Café,Peixe-dourado,2,15.94,False,Hemograma;Limpeza_tártaro
3061,Zelda,Peixe-dourado,8,10.06,True,Limpeza_tártaro;Hemograma;Castração
3062,Amora,Peixe-dourado,4,34.55,True,Limpeza_tártaro;Vacinação
3063,Pudim,Coelho,12,27.64,False,Curativo_ferida;Castração;Consulta_rotina
3064,Amora,Coelho,13,26.38,False,Consulta_rotina;Vacinação
3065,Nala,Porquinho-da-india,7,16.48,True,Ultrassonografia;Castração
3066,Nina,Cachorro,11,36.25,True,Castração;Curativo_ferida
3067,Alice,Coelho,3,23.68,False,Vacinação;Limpeza_tártaro;Consulta_rotina
3068,Jade,Peixe-dourado,10,37.74,True,Curativo_ferida;Ultrassonografia;Limpeza_tártaro
3069,Café,Coelho,1,26.07,True,Curativo_ferida
3070,Cacau,Calopsita,14,31.37,True,Ultrassonografia;Vacinação
3071,Gaia,Tartaruga,5,33.82,False,Castração
3072,Sushi,Tartaruga,10,26.51,True,Vacinação
3073,Clara,Cachorro,8,7.45,True,Limpeza_tártaro
3074,Sherlock,Peixe-dourado,14,3.31,True,Vacinação;Hemograma
3075,Zeca,Calopsita,4,23.88,False,Consulta_rotina;Curativo_ferida;Vacinação
3076,Sherlock,Tartaruga,7,24.89,True,Vacinação;Hemograma
3077,Nina,Tartaruga,13,2.9,False,Curativo_ferida
3078,Theo,Coelho,13,28.42,False,Vacinação
3079,Pudim,Gato,14,32.32,False,Hemograma;Ultrassonografia;Curativo_ferida
3080,Joaquim,Cachorro,5,32.49,False,Consulta_rotina
3081,Zeca,Gato,9,21.93,True,Consulta_rotina;Hemograma
3082,Bento,Calopsita,15,18.04,False,Hemograma;Curativo_ferida
3083,Stitch,Peixe-dourado,7,23.06,False,Vacinação;Limpeza_tártaro
3084,Jujuba,Coelho,14,7.58,False,Hemograma
3085,Gaia,Gato,1,36.95,False,Castração;Consulta_rotina
3086,Zeca,Hamster,11,22.38,False,Ultrassonografia;Castração;Vacinação
3087,Theo,Tartaruga,8,3.6,True,Hemograma
3088,Bento,Tartaruga,5,23.33,False,Consulta_rotina;Castração;Vacinação
3089,Tequila,Porquinho-da-india,1,35.82,True,Vacinação
3090,Alice,Calopsita,15,8.95,False,Hemograma;Vacinação;Limpeza_tártaro
3091,Bento,Peixe-dourado,14,20.93,True,Castração;Limpeza_tártaro
3092,Sherlock,Hamster,11,20.31,True,Curativo_ferida
3093,Mel,Tartaruga,8,35.33,False,Curativo_ferida
3094,Café,Porquinho-da-india,1,26.11,True,Limpeza_tártaro;Curativo_ferida;Castração
3095,Simba,Peixe-dourado,14,3.29,False,Castração
3096,Arya,Calopsita,12,22.46,False,Curativo_ferida;Consulta_rotina;Vacinação
3097,Vicente,Hamster,10,16.2,False,Hemograma
3098,Cookie,Porquinho-da-india,1,39.0,True,Castração;Vacinação
3099,Yoda,Hamster,8,21.35,False,Ultrassonografia;Limpeza_tártaro
3100,Luna,Coelho,4,16.06,True,Hemograma
3101,Cookie,Peixe-dourado,10,39.26,True,Castração
3102,Simba,Porquinho-da-india,3,1.5,False,Castração
3103,Pipoca,Calopsita,13,27.73,False,Limpeza_tártaro;Consulta_rotina;Vacinação
3104,Pudim,Coelho,15,32.89,False,Consulta_rotina;Vacinação
3105,Cecília,Coelho,2,36.84,True,Curativo_ferida
3106,Bento,Tartaruga,8,12.47,False,Limpeza_tártaro;Castração;Curativo_ferida
3107,Mel,Peixe-dourado,7,22.72,True,Limpeza_tártaro;Castração;Hemograma
3108,Otto,Tartaruga,3,18.82,True,Curativo_ferida;Limpeza_tártaro;Vacinação
3109,Alice,Coelho,12,9.15,False,Vacinação;Limpeza_tártaro;Ultrassonografia
3110,Thor,Gato,1,37.16,True,Hemograma;Castração
3111,Simba,Porquinho-da-india,10,19.31,True,Limpeza_tártaro;Ultrassonografia
3112,Koda,Calopsita,7,31.51,True,Hemograma
3113,Tequila,Gato,12,36.79,False,Castração
3114,Nina,Peixe-dourado,5,30.07,False,Castração;Ultrassonografia
3115,Alecrim,Cachorro,8,23.29,False,Limpeza_tártaro;Hemograma
3116,Sushi,Peixe-dourado,6,27.51,True,Vacinação;Ultrassonografia
3117,Clara,Tartaruga,7,21.7,True,Ultrassonografia
3118,Bento,Gato,11,20.06,False,Ultrassonografia;Limpeza_tártaro
3119,Bento,Porquinho-da-india,1,7.28,True,Consulta_rotina;Curativo_ferida
3120,Pipoca,Tartaruga,9,35.6,True,Limpeza_tártaro;Curativo_ferida
3121,Gaia,Porquinho-da-india,8,27.69,True,Hemograma;Castração
3122,Frodo,Calopsita,9,39.83,False,Hemograma
3123,Jade,Gato,10,7.74,True,Castração;Limpeza_tártaro;Curativo_ferida
3124,Gaia,Hamster,14,34.01,False,Limpeza_tártaro;Castração;Consulta_rotina
3125,Nala,Tartaruga,11,37.67,True,Limpeza_tártaro;Consulta_rotina
3126,Cookie,Hamster,3,13.12,False,Curativo_ferida;Consulta_rotina;Castração
3127,Loki,Coelho,13,23.44,False,Vacinação;Limpeza_tártaro
3128,Cookie,Tartaruga,10,30.37,False,Consulta_rotina;Hemograma;Vacinação
3129,Bento,Porquinho-da-india,2,38.18,True,Ultrassonografia;Castração
3130,Gaia,Porquinho-da-india,9,20.82,False,Limpeza_tártaro
3131,Jujuba,Cachorro,3,12.0,False,Hemograma;Consulta_rotina
3132,Cookie,Peixe-dourado,4,20.29,False,Consulta_rotina
3133,Otto,Porquinho-da-india,10,18.34,False,Curativo_ferida;Ultrassonografia;Castração
3134,Luna,Tartaruga,5,8.95,True,Hemograma;Castração;Vacinação
3135,Café,Coelho,4,14.49,False,Limpeza_tártaro;Ultrassonografia
3136,Stitch,Porquinho-da-india,3,32.71,False,Consulta_rotina
3137,Mel,Gato,10,25.0,False,Limpeza_tártaro;Castração;Ultrassonografia
3138,Bento,Coelho,6,30.63,False,Limpeza_tártaro
3139,Theo,Peixe-dourado,10,4.71,True,Limpeza_tártaro;Vacinação
3140,Amora,Hamster,15,5.26,True,Curativo_ferida;Vacinação;Limpeza_tártaro
3141,Sushi,Hamster,11,4.91,False,Limpeza_tártaro;Hemograma
3142,Thor,Gato,6,13.56,False,Castração
3143,Gaia,Calopsita,6,25.89,True,Curativo_ferida
3144,Otto,Hamster,9,38.88,False,Curativo_ferida;Castração;Ultrassonografia
3145,Jujuba,Porquinho-da-india,10,7.25,False,Hemograma;Ultrassonografia
3146,Mel,Hamster,6,9.59,True,Limpeza_tártaro
3147,Gaia,Hamster,13,18.7,True,Limpeza_tártaro;Vacinação;Castração
3148,Vicente,Gato,8,10.43,False,Castração
3149,Tequila,Hamster,2,27.72,False,Ultrassonografia;Vacinação
3150,Paçoca,Gato,11,26.19,True,Consulta_rotina;Castração;Hemograma
3151,Arthur,Tartaruga,11,24.05,True,Limpeza_tártaro;Hemograma
3152,Joaquim,Peixe-dourado,4,1.36,False,Curativo_ferida
3153,Frodo,Calopsita,11,7.78,False,Ultrassonografia;Limpeza_tártaro;Vacinação
3154,Koda,Calopsita,8,26.31,False,Vacinação;Hemograma
3155,Loki,Porquinho-da-india,2,4.62,True,Consulta_rotina;Castração
3156,Jade,Peixe-dourado,2,39.41,False,Limpeza_tártaro;Hemograma;Ultrassonografia
3157,Cookie,Cachorro,6,27.09,False,Castração;Limpeza_tártaro
3158,Mel,Peixe-dourado,12,38.19,False,Castração;Hemograma
3159,Gaia,Gato,11,13.79,False,Consulta_rotina
3160,Pipoca,Gato,15,19.73,True,Limpeza_tártaro;Consulta_rotina
3161,Vicente,Calopsita,13,19.68,False,Curativo_ferida;Hemograma;Limpeza_tártaro
3162,Alice,Hamster,6,13.75,True,Hemograma;Limpeza_tártaro;Vacinação
3163,Nala,Tartaruga,13,35.31,True,Hemograma
3164,Cookie,Cachorro,11,3.97,True,Ultrassonografia
3165,Frodo,Calopsita,13,5.91,True,Vacinação
3166,Zeca,Calopsita,15,2.18,True,Ultrassonografia;Limpeza_tártaro
3167,Zeca,Porquinho-da-india,10,15.71,True,Curativo_ferida
3168,Jade,Coelho,11,9.03,False,Hemograma;Ultrassonografia
3169,Paçoca,Peixe-dourado,7,23.44,True,Vacinação;Consulta_rotina;Curativo_ferida
3170,Bento,Gato,4,21.27,True,Curativo_ferida;Vacinação
3171,Theo,Porquinho-da-india,2,33.87,True,Consulta_rotina
3172,Clara,Calopsita,9,10.46,True,Limpeza_tártaro;Hemograma
3173,Jade,Peixe-dourado,10,30.53,True,Vacinação;Curativo_ferida;Ultrassonografia
3174,Jade,Tartaruga,11,7.93,False,Hemograma;Consulta_rotina
3175,Café,Tartaruga,3,38.49,True,Consulta_rotina
3176,Koda,Tartaruga,8,17.16,True,Vacinação
3177,Yoda,Hamster,8,8.49,True,Vacinação;Ultrassonografia
3178,Zeca,Calopsita,5,1.02,False,Curativo_ferida;Castração
3179,Stitch,Calopsita,14,12.23,True,Hemograma;Vacinação;Castração
3180,Flora,Cachorro,3,2.81,False,Hemograma;Vacinação
3181,Jujuba,Cachorro,14,7.43,True,Limpeza_tártaro;Curativo_ferida;Ultrassonografia
3182,Amora,Gato,7,26.4,False,Vacinação;Curativo_ferida;Limpeza_tártaro
3183,Koda,Calopsita,11,38.52,False,Consulta_rotina
3184,Zelda,Tartaruga,5,32.89,True,Hemograma;Ultrassonografia;Consulta_rotina
3185,Bento,Hamster,1,26.26,False,Castração;Hemograma
3186,Yoda,Peixe-dourado,13,2.38,True,Curativo_ferida;Limpeza_tártaro
3187,Mel,Calopsita,12,13.7,True,Consulta_rotina;Castração
3188,Stitch,Porquinho-da-india,10,12.66,False,Castração;Limpeza_tártaro;Curativo_ferida
3189,Otto,Cachorro,5,22.37,False,Castração;Vacinação;Consulta_rotina
3190,Sushi,Tartaruga,1,29.49,True,Castração;Limpeza_tártaro;Ultrassonografia
3191,Lola,Calopsita,4,25.66,True,Vacinação;Limpeza_tártaro;Hemograma
3192,Bento,Gato,7,33.87,True,Consulta_rotina
3193,Vicente,Calopsita,11,29.86,False,Castração;Hemograma
3194,Frodo,Porquinho-da-india,11,35.2,True,Hemograma;Curativo_ferida;Limpeza_tártaro
3195,Cacau,Calopsita,3,29.69,False,Ultrassonografia
3196,Alecrim,Coelho,12,25.7,False,Hemograma;Consulta_rotina;Ultrassonografia
3197,Cecília,Gato,12,34.83,False,Castração;Consulta_rotina
3198,Tequila,Gato,3,7.94,False,Curativo_ferida
3199,Thor,Gato,10,38.47,True,Curativo_ferida;Hemograma;Vacinação
3200,Nina,Porquinho-da-india,10,16.65,False,Limpeza_tártaro;Vacinação;Curativo_ferida
3201,Cacau,Porquinho-da-india,8,25.93,True,Ultrassonografia;Consulta_rotina;Hemograma
3202,Theo,Hamster,2,33.38,True,Consulta_rotina
3203,Arya,Peixe-dourado,5,6.87,True,Limpeza_tártaro;Consulta_rotina
3204,Bento,Gato,5,18.63,False,Ultrassonografia;Curativo_ferida
3205,Otto,Porquinho-da-india,1,36.34,False,Limpeza_tártaro;Curativo_ferida;Ultrassonografia
3206,Jade,Calopsita,1,22.56,False,Consulta_rotina
3207,Otto,Cachorro,4,23.79,False,Ultrassonografia
3208,Theo,Coelho,14,17.96,True,Limpeza_tártaro
3209,Gaia,Calopsita,4,38.3,False,Limpeza_tártaro;Ultrassonografia
3210,Amora,Coelho,10,23.85,True,Castração;Curativo_ferida;Consulta_rotina
3211,Theo,Porquinho-da-india,9,13.49,True,Limpeza_tártaro
3212,Thor,Tartaruga,4,29.46,True,Hemograma;Ultrassonografia
3213,Cookie,Hamster,7,28.4,False,Hemograma;Ultrassonografia;Vacinação
3214,Paçoca,Peixe-dourado,5,35.51,True,Curativo_ferida;Limpeza_tártaro
3215,Sushi,Cachorro,3,24.59,True,Castração;Hemograma
3216,Paçoca,Peixe-dourado,10,3.73,False,Vacinação;Castração;Ultrassonografia
3217,Zeca,Cachorro,13,23.95,False,Ultrassonografia;Hemograma
3218,Cookie,Tartaruga,4,22.75,False,Curativo_ferida
3219,Gaia,Hamster,4,12.62,True,Curativo_ferida;Limpeza_tártaro;Vacinação
3220,Zeca,Calopsita,5,23.25,False,Vacinação;Limpeza_tártaro
3221,Zeca,Hamster,6,19.92,False,Castração
3222,Bento,Calopsita,9,36.04,True,Vacinação
3223,Gaia,Porquinho-da-india,9,33.17,False,Limpeza_tártaro
3224,Paçoca,Peixe-dourado,13,33.49,True,Consulta_rotina
3225,Otto,Tartaruga,6,14.65,False,Curativo_ferida;Castração
3226,Vicente,Coelho,8,34.06,True,Castração;Hemograma;Limpeza_tártaro
3227,Cookie,Calopsita,6,18.6,True,Vacinação
3228,Cacau,Porquinho-da-india,9,10.47,True,Limpeza_tártaro;Castração
3229,Otto,Coelho,1,18.97,True,Curativo_ferida;Limpeza_tártaro;Vacinação
3230,Mel,Porquinho-da-india,9,2.53,True,Castração;Consulta_rotina
3231,Theo,Tartaruga,1,10.89,True,Castração
3232,Sherlock,Cachorro,4,24.58,False,Consulta_rotina
3233,Otto,Tartaruga,10,0.87,False,Castração;Vacinação
3234,Amora,Calopsita,7,24.94,False,Vacinação;Limpeza_tártaro
3235,Jade,Coelho,5,20.69,False,Vacinação
3236,Amora,Porquinho-da-india,14,11.14,True,Ultrassonografia
3237,Simba,Peixe-dourado,1,9.6,False,Castração;Limpeza_tártaro;Consulta_rotina
3238,Luna,Hamster,2,3.69,False,Consulta_rotina
3239,Stitch,Tartaruga,9,32.27,True,Consulta_rotina;Hemograma;Ultrassonografia
3240,Nala,Hamster,2,14.76,True,Limpeza_tártaro;Ultrassonografia;Curativo_ferida
3241,Frodo,Porquinho-da-india,15,11.45,False,Ultrassonografia
3242,Luna,Cachorro,10,30.82,True,Ultrassonografia;Vacinação;Limpeza_tártaro
3243,Cacau,Gato,11,26.97,False,Ultrassonografia;Curativo_ferida;Hemograma
3244,Paçoca,Porquinho-da-india,6,8.47,True,Ultrassonografia;Limpeza_tártaro
3245,Paçoca,Coelho,15,33.6,True,Hemograma;Ultrassonografia
3246,Simba,Gato,11,6.97,True,Hemograma;Consulta_rotina
3247,Café,Coelho,8,6.33,False,Ultrassonografia;Limpeza_tártaro
3248,Pudim,Peixe-dourado,12,14.04,False,Hemograma
3249,Flora,Coelho,4,35.42,True,Ultrassonografia;Castração
3250,Arya,Peixe-dourado,7,23.82,True,Castração
3251,Alecrim,Cachorro,14,14.79,True,Curativo_ferida;Consulta_rotina;Vacinação
3252,Jujuba,Gato,4,37.39,False,Consulta_rotina;Vacinação;Limpeza_tártaro
3253,Sushi,Coelho,2,38.65,True,Castração;Vacinação
3254,Bento,Peixe-dourado,8,33.85,False,Hemograma
3255,Pipoca,Gato,4,25.67,True,Castração
3256,Bento,Cachorro,8,26.62,True,Limpeza_tártaro;Curativo_ferida
3257,Yoda,Porquinho-da-india,10,31.25,True,Vacinação
3258,Pipoca,Tartaruga,15,19.41,False,Castração
3259,Zeca,Calopsita,13,25.33,False,Ultrassonografia
3260,Otto,Gato,14,33.71,False,Curativo_ferida;Consulta_rotina;Vacinação
3261,Mel,Porquinho-da-india,6,34.04,True,Castração;Ultrassonografia
3262,Pipoca,Coelho,15,27.43,True,Curativo_ferida
3263,Zelda,Hamster,7,32.85,False,Limpeza_tártaro;Castração
3264,Nina,Tartaruga,2,8.68,False,Ultrassonografia;Consulta_rotina;Curativo_ferida
3265,Joaquim,Hamster,10,26.17,False,Curativo_ferida;Vacinação
3266,Zelda,Peixe-dourado,9,19.58,False,Ultrassonografia
3267,Alecrim,Gato,10,4.2,True,Ultrassonografia
3268,Sushi,Cachorro,9,5.2,False,Curativo_ferida
3269,Alecrim,Coelho,6,30.9,True,Consulta_rotina
3270,Mel,Coelho,9,22.09,False,Consulta_rotina
3271,Simba,Peixe-dourado,7,29.57,True,Castração
3272,Mel,Cachorro,3,9.71,False,Hemograma;Castração;Curativo_ferida
3273,Clara,Cachorro,1,32.79,True,Limpeza_tártaro;Vacinação
3274,Otto,Coelho,8,10.35,False,Ultrassonografia;Vacinação
3275,Zeca,Gato,14,18.53,True,Limpeza_tártaro;Castração;Vacinação
3276,Vicente,Tartaruga,12,26.87,True,Ultrassonografia;Consulta_rotina;Curativo_ferida
3277,Cookie,Tartaruga,3,26.8,True,Limpeza_tártaro
3278,Sushi,Porquinho-da-india,15,17.87,True,Consulta_rotina
3279,Mel,Hamster,11,19.6,True,Castração;Hemograma;Vacinação
3280,Theo,Tartaruga,9,27.53,True,Ultrassonografia
3281,Frodo,Porquinho-da-india,11,1.77,True,Curativo_ferida
3282,Amora,Porquinho-da-india,12,36.02,True,Ultrassonografia;Vacinação
3283,Bento,Tartaruga,2,39.06,False,Curativo_ferida;Vacinação;Consulta_rotina
3284,Jade,Calopsita,9,35.72,False,Hemograma
3285,Amora,Porquinho-da-india,11,9.74,True,Vacinação;Limpeza_tártaro
3286,Gaia,Gato,12,39.44,False,Hemograma;Vacinação;Castração
3287,Sherlock,Porquinho-da-india,6,17.4,True,Consulta_rotina;Castração;Ultrassonografia
3288,Otto,Porquinho-da-india,10,14.1,False,Curativo_ferida;Castração
3289,Café,Calopsita,7,15.01,True,Curativo_ferida
3290,Pudim,Tartaruga,1,25.78,True,Ultrassonografia;Castração
3291,Zeca,Calopsita,8,2.09,False,Consulta_rotina
3292,Frodo,Tartaruga,8,31.13,False,Consulta_rotina;Castração
3293,Sushi,Peixe-dourado,11,25.98,False,Limpeza_tártaro;Ultrassonografia
3294,Theo,Tartaruga,13,6.22,True,Castração;Consulta_rotina;Vacinação
3295,Sherlock,Peixe-dourado,9,8.57,True,Consulta_rotina;Castração
3296,Theo,Calopsita,2,10.03,True,Consulta_rotina
3297,Thor,Peixe-dourado,7,11.67,True,Curativo_ferida;Consulta_rotina
3298,Alice,Calopsita,15,34.33,True,Vacinação;Hemograma
3299,Clara,Peixe-dourado,9,33.38,False,Ultrassonografia
3300,Loki,Tartaruga,8,12.91,True,Curativo_ferida
3301,Flora,Hamster,15,6.66,False,Consulta_rotina
3302,Arthur,Calopsita,6,1.91,True,Curativo_ferida
3303,Café,Porquinho-da-india,11,6.43,False,Curativo_ferida;Consulta_rotina;Hemograma
3304,Luna,Calopsita,12,9.41,False,Hemograma
3305,Zeca,Peixe-dourado,6,17.95,True,Ultrassonografia;Limpeza_tártaro
3306,Zeca,Hamster,10,5.64,False,Curativo_ferida;Ultrassonografia
3307,Cacau,Coelho,10,31.34,False,Curativo_ferida;Castração;Limpeza_tártaro
3308,Koda,Calopsita,4,37.77,False,Consulta_rotina;Vacinação
3309,Cookie,Cachorro,13,3.18,False,Hemograma
3310,Clara,Calopsita,8,21.06,False,Limpeza_tártaro
3311,Gaia,Tartaruga,8,38.68,False,Vacinação;Castração;Consulta_rotina
3312,Jujuba,Coelho,9,27.5,True,Castração
3313,Zelda,Hamster,3,29.52,True,Curativo_ferida
3314,Bento,Cachorro,8,26.29,True,Castração
3315,Paçoca,Gato,6,24.06,False,Curativo_ferida;Limpeza_tártaro;Hemograma
3316,Luna,Porquinho-da-india,4,12.07,True,Curativo_ferida;Limpeza_tártaro;Castração
3317,Theo,Cachorro,15,22.4,True,Hemograma
3318,Sherlock,Porquinho-da-india,6,8.07,True,Vacinação;Curativo_ferida
3319,Pipoca,Hamster,5,8.72,True,Curativo_ferida
3320,Nina,Coelho,6,27.46,True,Curativo_ferida;Vacinação
3321,Mel,Tartaruga,6,32.32,False,Ultrassonografia;Castração
3322,Mel,Peixe-dourado,12,26.96,False,Hemograma;Vacinação;Consulta_rotina
3323,Pudim,Gato,5,14.59,False,Limpeza_tártaro;Hemograma;Vacinação
3324,Alice,Coelho,6,2.24,True,Hemograma;Vacinação
3325,Yoda,Porquinho-da-india,12,19.34,True,Vacinação;Hemograma;Limpeza_tártaro
3326,Bento,Porquinho-da-india,3,14.34,True,Hemograma;Ultrassonografia;Castração
3327,Cacau,Gato,9,37.56,True,Ultrassonografia;Castração;Limpeza_tártaro
3328,Flora,Calopsita,13,22.14,True,Ultrassonografia;Consulta_rotina;Limpeza_tártaro
3329,Otto,Hamster,9,7.25,True,Curativo_ferida;Ultrassonografia
3330,Arya,Calopsita,1,2.18,True,Castração
3331,Alecrim,Porquinho-da-india,9,17.49,False,Vacinação;Castração;Hemograma
3332,Stitch,Gato,1,18.72,False,Vacinação;Hemograma
3333,Clara,Gato,14,23.89,False,Castração
3334,Jujuba,Peixe-dourado,11,36.94,False,Limpeza_tártaro;Ultrassonografia;Consulta_rotina
3335,Joaquim,Porquinho-da-india,14,6.64,True,Curativo_ferida;Hemograma;Vacinação
3336,Cacau,Porquinho-da-india,10,32.18,True,Hemograma
3337,Simba,Gato,3,16.71,True,Curativo_ferida
3338,Arthur,Peixe-dourado,10,2.28,True,Ultrassonografia;Consulta_rotina
3339,Mel,Tartaruga,7,1.13,False,Castração
3340,Clara,Cachorro,5,37.52,False,Ultrassonografia;Limpeza_tártaro;Consulta_rotina
3341,Vicente,Gato,12,13.69,False,Hemograma;Vacinação;Limpeza_tártaro
3342,Theo,Calopsita,15,23.78,True,Curativo_ferida;Castração;Hemograma
